ci 离
rc 志愿
rd 紧接着
rf 土豆
rg 耍流氓
rh 地方
rj 基本
rk 城市
rl 虚拟
rm 地铁站
rn 而且
rp 紧张
rq 劫数
rr 面对
rs 吉利
rt 坎坷
rv 幸存者
rw 缺点
rx 埋伏
ry 堵车
sb 虽然
sc 号码
sd 手机
sf 印象
sg 员工
sh 哪里
sj 兄弟
sk 看到
sl 咱们
sn 吃饭
sp 哎呀
sq 嘿嘿
ss 品味
st 吹牛
sv 喇叭
sw 骨头
sx 喷嚏
sy 咬牙
tb 隧道
tc 陌生
td 区别
tf 隔壁
tg 补偿
th 阿姨
tj 回家
tk 足够
tl 合适
tm 除了
tn 灵感
tp 医药费
tq 建议
tr 随声附和
ts 陨石
tt 距离
tv 随便
tw 医院
tx 院子
ty 跑龙套
vb 栏杆
vc 橱窗
vd 身体
vf 本来
vg 有没有
vh 材料
vj 查看
vk 想法
vl 所以
vm 根本
vn 楼梯
vp 模式
vq 超能力
vr 棋子
vt 柜子
vv 梦想
vw 机会
vx 刺激
vy 板凳
wb 化妆
wc 侦探
wd 住院
wf 便宜
wg 任何
wh 他们
wj 停车
wk 大家
wl 代价
wm 价值
wn 作者
wp 借钱
wq 傻眼
wr 毛病
ws 保姆
wt 健康
wv 休息
ww 佩服
wx 值得
wy 信息
xb 它们
xc 密码
xd 往往
xf 完全
xg 遇到
xh 寝室
xj 重要
xk 空间
xl 客厅
xm 很好
xn 刚才
xp 支付
xq 窗口
xr 待遇
xs 彼此
xt 律师
xv 里面
xw 宿舍
xx 行李
xy 宠物
yb 商场
yc 出来
yd 山寨
yf 后来
yg 尤其
yh 老司机
yj 乌鸦
yk 老头儿
yl 收获
ym 效果
yn 老年人
yp 发现
yq 充电
yr 麻烦
ys 老中医
yt 衣服
yv 老师
yw 夜宵
yx 质量
yy 老老实实
u 不
i 是
o 我
e 的
a 了
ba 总
be 前
bu 邪
ce 情
co 这
cu 桌
de 些
do 和
du 为
go 海
gu 没
ho 过
hu 那
jo 问
ke 版
ki 眼
ko 着
ku 部
lo 神
lu 骗
mi 会
mo 通
mu 坐
na 怎
ne 年
ni 算
po 落
pu 对
qa 向
qo 置
ro 声
se 听
su 哪
te 因
to 随
tu 国
ve 有
vo 近
we 做
wi 但
wo 们
xa 真
xe 定
xu 得
yu 都
bbe 蜷
bbu 蝙
bca 惠
bda 蛀
bdu 颖
bfe 师
bfu 螳
bgi 雅
bgo 鸦
bhe 弟
bho 递
bja 蛛
bje 奠
bji 单
bjo 遵
bju 尊
bka 彭
bko 喜
bku 豹
ble 肩
bli 扇
blo 道
bmi 蚣
bmo 益
bmu 顷
bne 蝴
bni 卫
bno 蚱
bnu 蝼
bpa 蟥
bpe 蟆
bpo 瓶
bpu 蝾
bqa 慈
bqe 半
bqi 弊
bqo 瞥
bqu 兹
bre 蜞
bru 蛙
bse 兑
bta 兼
bte 归
bto 蛔
btu 蝈
bve 蜥
bvi 螺
bvo 兽
bwe 关
bwi 普
bwo 送
bwu 郑
bxe 疑
bxi 蛇
bye 朔
byi 蛟
byo 逆
byu 塑
cbe 悦
cbi 憎
cca 恼
cco 唇
cfa 厉
cfi 惯
cfo 悟
cfu 厨
cge 厕
cgu 顾
che 厅
cho 懈
chu 忖
cja 惊
cje 刘
cke 必
cki 怀
cla 原
cli 怕
clo 忙
cmi 恨
cmo 怜
cne 懦
cni 点
cno 餐
cnu 颅
cpa 怦
cpi 懂
cpo 懵
cqa 惨
cqe 懊
cqo 愣
cre 厮
cri 怯
cru 压
cse 愕
csi 忡
csu 忸
cta 恰
cti 怄
cve 怖
cwi 雁
cwo 靥
cxa 慎
cxe 惋
cxo 惘
cyu 忧
dba 护
dbe 报
dbi 指
dbu 掷
dca 掉
dce 撅
dco 挤
dda 破
dde 扯
ddu 碰
dfe 挡
dga 撰
dge 揆
dgo 招
dhe 打
dho 括
dhu 挥
dji 搞
dki 紫
dko 名
dku 接
dle 利
dli 种
dlo 秀
dlu 委
dme 抢
dmi 良
dmu 郎
dna 掘
dni 据
dno 抱
dnu 杂
dpa 搭
dpe 摸
dpi 措
dpo 搔
dpu 抽
dqa 掺
dqi 摆
dqo 抬
dre 撕
dri 掳
dru 持
dsa 披
dse 抑
dsi 损
dsu 操
dte 扫
dti 抠
dto 拒
dtu 捆
dva 誓
dve 希
dvi 摞
dvo 逝
dwa 掩
dwe 鞘
dwo 鞠
dxe 技
dxi 挖
dxu 插
dye 抗
dyi 摔
dyo 捣
dyu 扰
fba 嫌
fbe 娣
fbi 婵
fbo 嬉
fce 亏
fci 焉
fcu 娠
fda 殊
fde 常
fdi 死
fdu 堂
ffa 婳
ffe 妙
ffi 嫣
ffo 姆
fge 救
fgi 妊
fgo 裘
fgu 求
fhi 娥
fhu 娜
fje 好
fji 更
fki 耀
fko 光
fku 尘
fla 媳
fle 武
flo 妈
fme 举
fni 姑
fpa 形
fpo 驽
fpu 型
fqe 奚
fqo 始
fqu 爵
fri 繇
fru 娃
fse 副
fsi 婚
fte 妇
fto 婀
fve 嫩
fvi 嫘
fvo 娇
fwa 恶
fwe 天
fwo 吞
fwu 亚
fxa 嫔
fxe 两
fxo 嫁
fxu 再
fyi 姥
fyu 州
gbi 潽
gbu 滋
gca 源
gce 泌
gco 济
gcu 涯
gda 忍
gde 汽
gfa 登
gfe 消
gfi 浅
gfo 淌
gga 慧
ggi 溅
ggo 沼
gha 艳
ghi 泛
gho 活
ghu 深
gje 洗
gji 渴
gjo 温
gju 酒
gke 清
gki 潜
gko 泪
gku 洋
gle 渡
gli 泊
glo 洛
glu 柒
gme 游
gmi 沦
gmo 涌
gmu 涂
gna 忌
gni 泥
gno 淡
gnu 漏
gpa 洪
gpi 汗
gpo 港
gpu 油
gqa 渗
gqe 澳
gqo 治
gra 滤
gri 法
gro 洁
gru 洼
gse 则
gsu 婆
gta 洽
gte 帮
gto 汇
gve 漱
gvi 漆
gvo 湘
gwa 淹
gwi 漕
gwo 沿
gxa 演
gxe 潮
gye 流
gyo 滚
gyu 液
hba 谦
hbe 说
hbo 乎
hbu 讶
hca 詹
hce 危
hco 鹤
hda 辞
hde 以
hdi 乱
hfa 尔
hga 该
hge 记
hgi 负
hgo 承
hha 谵
hhi 讯
hho 话
hhu 书
hja 冥
hje 谆
hji 谒
hjo 诽
hju 课
hka 谚
hki 诚
hko 可
hku 军
hlo 试
hma 诊
hmi 论
hmo 访
hmu 须
hna 悉
hne 释
hni 询
hno 谈
hpe 谎
hpo 诺
hpu 谋
hqe 币
hqo 血
hqu 血压
hre 谑
hru 诗
hsa 识
hse 事
hsi 勉
hso 象
hsu 兔
hta 急
hte 刍
htu 邹
hva 谏
hve 谓
hvu 谢
hwe 弱
hwo 强
hxe 读
hya 谭
hye 谛
hyi 诸
hyo 讪
hyu 训
jba 严
jbu 琊
jca 斑
jda 影
jde 晚
jdo 昨
jfa 京
jfe 现
jfi 琐
jfo 玩
jfu 就
jga 酥
jgi 醉
jgo 酷
jho 豫
jhu 柔
jju 郭
jka 孩
jki 孔
jko 逃
jku 琢
jli 珀
jlo 玛
jma 珍
jme 瑜
jmo 玲
jmu 预
jni 珊
jno 琰
jpo 襄
jqa 物
jqe 制
jqu 特
jra 闷
jre 闪
jri 间
jru 闲
jsa 玻
jvo 辽
jvu 琳
jwa 悲
jwe 亮
jwu 辈
jxe 琬
jye 瑞
jyi 璀
kbe 绊
kbi 纰
kbu 编
kca 绰
kce 软
kco 轻
kda 饷
kde 饭
kdi 饿
kdu 馅
kfe 缓
kfi 线
kfo 毒
kga 恙
kge 美
kgi 责
kgo 善
kha 绝
kja 感
kji 成
kke 组
kki 丝
kko 辣
kku 舂
kla 练
kli 静
klo 绕
kmi 绘
kmo 经
kmu 级
kni 净
kno 进
knu 专
kpe 缀
kpo 绅
kqa 疲
kqe 病
kqi 疯
kqo 痛
kqu 痒
kra 瞪
kre 睛
kru 眩
ksa 织
kse 歪
kso 还
ksu 纽
kta 给
kva 章
kve 新
kvo 站
kwe 划
kwu 颊
kxa 缤
kxe 续
kxi 缩
kya 绌
kye 统
kyi 绪
kyo 缥
lba 膨
lbe 服
lbo 腾
lca 脑
lco 脐
lde 福
ldi 礼
ldu 社
lfa 东
lfe 叔
lfi 膈
lfo 督
lfu 膛
lgi 贰
lgo 式
lha 肠
lhe 脆
lho 尧
lhu 肘
lja 望
lje 腥
lji 胆
lju 妄
lka 处
lki 务
lko 各
lku 条
lla 肫
lli 腻
llo 鹏
llu 脏
lma 脸
lmi 肋
lmo 腿
lmu 脞
lna 胸
lne 腹
lpe 膜
lpi 腊
lpo 朦
lqo 胎
lre 脚
lri 驶
lsa 皇
lse 兜
lso 迫
lte 胭
lti 腱
ltu 腘
lva 腮
lvi 赢
lvo 蠃
lvu 嬴
lwa 应
lwe 度
lxa 腆
lxe 脖
lxu 胺
lyo 膀
lyu 顿
mbe 锐
mbu 铘
mca 钋
mce 兮
mco 钻
mda 念
mde 爷
mdu 领
mfa 愈
mfe 剑
mfi 锁
mge 创
mgi 贫
mgo 盆
mha 铯
mhe 钉
mhi 铮
mho 铁
mhu 舒
mje 铣
mji 镐
mjo 镶
mju 钰
mka 锌
mki 锄
mko 链
mku 郐
mla 钝
mli 铂
mlo 佘
mlu 镍
mmi 银
mmo 谷
mmu 锉
mna 锪
mne 钧
mni 钩
mno 锔
mnu 钓
mpe 钳
mpi 错
mpu 钗
mqa 锣
mqe 孕
msa 锃
mse 锅
msi 钟
mso 铝
msu 钮
mta 铪
mte 钦
mti 键
mto 钜
mva 办
mve 钿
mvo 边
mvu 架
mwa 恳
mwe 即
mwu 锻
mxa 镇
mxe 锭
mxu 颈
mya 镡
mye 铠
myi 镝
myo 镖
myu 钏
nba 炉
nbe 箭
nbi 煽
nbu 篇
nci 篱
nda 属
nde 尽
ndi 居
nfe 敏
nfi 繁
nfu 爝
nge 雪
ngi 雾
ngo 露
nhe 第
nho 迄
nhu 匆
nja 焖
nji 简
njo 燏
nju 郇
nka 舆
nke 竺
nki 笠
nku 烊
nla 炼
nle 烽
nli 燃
nlo 烧
nma 签
nmi 烩
nmo 簇
nmu 烦
nna 笏
nne 删
nni 册
npa 烘
npe 舞
npo 箬
npu 笛
nqa 箩
nqe 燠
nre 数
nri 料
nsa 够
nse 熘
nsi 熠
nsu 燥
nte 烟
nti 簪
nve 策
nvo 箱
nwa 辜
nwe 克
nwo 笔
nwu 符
nxe 筮
nxo 管
nxu 毁
pba 芦
pbe 节
pbi 荜
pbu 芽
pca 蕊
pce 蕨
pco 芠
pde 莉
pfe 观
pfo 莱
pfu 菜
pga 荡
pge 范
pgi 藉
pgo 迪
pho 营
phu 荣
pja 茱
pje 莫
pji 葛
pju 慕
pke 藏
pki 戏
pko 莲
pku 药
pla 薛
ple 散
pli 藤
plo 芒
pme 苍
pmi 劝
pmo 芳
pmu 茶
pna 警
pni 苦
pno 菊
pnu 葡
ppa 黄
ppu 桑
pqe 芈
pre 菱
pro 蓝
psa 蓼
pso 莒
psu 颧
pta 萧
pte 欢
pva 惹
pve 苗
pvo 若
pvu 茬
pwa 平
pwe 刊
pwo 荷
pxe 英
pxi 董
pxo 蓉
pya 茁
pye 蒂
pyo 鸡
qca 卧
qgi 幻
qja 击
qji 罢
qjo 罪
qju 韧
qli 能
qlu 墨
qmu 颐
qna 帜
qni 帕
qno 帽
qnu 帐
qqi 鑫
qwa 参
qwe 畚
qxe 欸
qxo 矣
rba 赤
rbe 赦
rbi 增
rbo 螫
rbu 郝
rca 志
rco 盐
rcu 堞
rda 埗
rde 址
rfe 毐
rfi 凸
rfo 圩
rfu 垭
rga 垓
rge 圮
rgi 坝
rgo 圯
rha 场
rho 坷
rhu 寺
rjo 壤
rju 基
rke 块
rki 城
rle 款
rli 虏
rlo 塘
rlu 虚
rma 埝
rmo 坊
rmu 圾
rni 临
rno 监
rnu 耐
rpa 塔
rpe 肾
rpi 紧
rpo 坤
rpu 坚
rqa 垧
rqe 却
rqo 埃
rra 卦
rri 堪
rsa 坡
rsi 埙
rsu 颉
rte 坎
rti 堌
rtu 堰
rve 圻
rvu 坼
rwe 缺
rwi 罐
rwu 垛
rxa 填
rxe 圲
rxi 埋
rxo 墙
rye 坑
ryi 堵
ryu 圳
sba 嘭
sbe 叩
sbu 呀
sce 号
sda 哆
sde 啃
sdu 啷
sfa 乐
sfe 拜
sfi 哽
sfo 吁
sfu 哑
sge 变
sgi 员
sgo 迹
shi 哦
sho 呼
sji 喝
sjo 啡
ska 噫
ski 艇
sko 看
sku 般
sla 嗅
sle 咱
slo 吗
slu 邸
sme 别
smi 另
smo 啥
smu 吸
sni 呢
sno 聊
snu 颇
spa 哄
spi 哎
spo 呻
spu 嗓
sqa 响
sqe 吊
sqi 呦
sre 留
ssa 哭
sse 咒
ssu 噪
sta 哈
ste 吹
sti 呕
sto 啊
sve 喇
svi 喳
swe 叽
swo 喉
swu 咐
sxa 嗔
sxe 呐
sxo 喃
sxu 鄙
sye 喘
syo 嘛
tbo 隧
tbu 陛
tda 陟
tdo 骘
tfa 隙
tfi 隔
tga 初
tge 裆
tgo 裙
tgu 裤
tha 隐
tho 阿
thu 陷
tja 恩
tjo 回
tju 困
tka 踢
tki 跟
tko 路
tku 阵
tlo 拿
tma 险
tmi 限
tmo 阶
tmu 除
tna 肃
tne 尹
tni 建
tno 灵
tnu 群
tqa 陆
tre 陵
tvu 堕
twa 匡
twe 欧
twi 区
two 医
twu 附
txu 隅
vbe 梯
vbi 楷
vca 朴
vce 肆
vco 栌
vda 柱
vde 樊
vdi 躯
vfe 柄
vfo 梧
vfu 桠
vga 核
vge 杞
vgi 梃
vgo 柖
vgu 樱
vhe 材
vho 柯
vhu 村
vje 李
vjo 橘
vka 想
vki 越
vko 相
vku 在
vle 所
vli 柏
vlo 格
vlu 桩
vma 思
vmi 男
vmo 界
vmu 极
vna 兵
vni 杰
vno 梅
vnu 楼
vpa 横
vpo 檬
vpu 树
vqa 椤
vqo 楞
vre 棋
vri 椹
vro 槛
vsa 鬓
vse 整
vsi 赖
vte 椭
vto 柜
vtu 柩
vva 梦
vve 楚
vvo 桥
vwe 机
vwi 枫
vwo 椅
vwu 椴
vxa 槟
vxe 刺
vye 板
wbe 伴
wbo 僖
wbu 偏
wca 仆
wci 侦
wda 住
wde 仇
wdi 仪
wdu 伪
wfe 倒
wfi 使
wfu 俅
wge 侧
wgi 任
wgo 傺
wha 你
who 像
whu 付
wja 狂
wjo 狗
wju 犹
wka 态
wki 位
wko 奇
wku 传
wla 黛
wle 佟
wli 伯
wlo 袋
wlu 代
wma 份
wme 偷
wmi 伦
wmo 价
wmu 段
wni 风
wnu 凡
wpa 供
wpi 借
wpo 伸
wqe 傻
wqi 伟
wqo 俟
wqu 傅
wra 修
wre 攸
wru 佳
wsa 僇
wse 仰
wsi 仲
wso 侣
wsu 保
wte 伊
wti 健
wtu 偃
wva 偲
wvi 体
wvo 佐
wwe 佩
wwi 飙
wxa 傧
wxe 伎
wxo 值
wxu 偶
wyi 佬
wyo 依
wyu 优
xbo 丧
xca 寡
xce 巧
xco 密
xcu 宸
xda 短
xde 朝
xdi 韩
xdu 矮
xfa 徵
xfi 宣
xfo 完
xga 愚
xge 割
xgo 害
xhe 卖
xhi 索
xhu 守
xja 熏
xji 重
xju 宝
xke 实
xki 截
xku 穿
xla 彻
xle 攻
xlo 客
xlu 额
xma 协
xmi 很
xmo 径
xmu 徐
xna 典
xni 网
xnu 冉
xpa 謇
xpo 审
xpu 塞
xqu 博
xru 街
xsa 彼
xso 宫
xte 律
xto 徊
xtu 妻
xva 宾
xve 徒
xwa 恐
xwi 宿
xwo 寄
xxa 德
xxo 南
xxu 行
xye 宠
xyo 循
xyu 衒
ybe 帝
ybo 商
yca 出
yce 剿
yco 巡
yde 峰
ydi 岸
ydu 幽
yfe 卮
yfo 后
yge 龙
ygi 贾
ygo 袭
yle 收
yli 飘
ylo 票
yme 效
ymi 交
ymo 尬
yne 燮
ynu 尥
ypo 返
ypu 发
yqe 市
yqi 率
yqu 玄
yri 魔
ytu 颤
yve 教
yvi 老
ywe 亢
yxe 覆
yxo 盾
bbo 蟲
bce 輸
bci 較
bco 輕
bde 飯
bki 養
blu 導
bme 蛻
bro 蟯
bsi 蟬
bsu 螻
bya 愬
cce 雙
cde 歷
cdi 曆
cju 壓
cle 憂
clu 願
cpu 厲
cqu 慳
cra 驗
cte 愜
cto 慍
cva 鹼
cxu 悽
cya 愷
cyi 惱
cyo 懷
dfi 掙
dfu 採
dgu 撥
dqe 攬
fco 媽
fha 妳
fja 惡
fli 亙
fmi 爾
fmu 嫻
fsu 頭
fti 爭
gba 淚
gbe 漸
gti 潛
gxu 漁
jbo 璉
jco 瑪
jhi 務
jpe 現
kfa 懸
khi 響
kho 饗
khu 鄉
klu 將
lbi 勝
lda 禮
lme 腳
lsu 樂
lxi 腫
lyi 腦
mma 慾
mre 聞
nca 與
nce 舉
nga 電
nko 籠
nlu 爍
nnu 榮
npi 無
nqo 籃
ntu 籲
nxa 興
nyi 雛
nyu 煙
pcu 葉
pfa 荳
pka 黃
plu 藥
ppi 華
pqa 夢
pqo 藍
pri 藝
pse 觀
psi 勸
pti 蕭
pto 蘊
pxa 蘇
pxu 萬
qba 鎌
qbo 鏈
qbu 鐏
qce 鐫
qco 鉆
qdo 銘
qdu 鎩
qfe 銷
qfi 鎖
qfo 鋙
qfu 鏜
qga 鐙
qge 幾
qhe 奧
qhi 鈣
qho 鏹
qhu 囪
qke 鏡
qki 錢
qko 錶
qku 鏘
qle 錦
qlo 點
qma 銓
qmi 銀
qmo 鈴
qpa 豎
qpe 腎
qpu 堅
qqa 參
qqo 鑑
qru 鑄
qsi 錄
qsu 鈕
qte 欽
qti 鍵
qto 鉅
qtu 鑰
qva 鍊
qve 釿
qvu 鈸
qwo 鉛
qwu 鍛
qxa 鐵
qxu 銨
qya 鎧
qye 銬
qyi 鉸
qyo 鏢
qyu 釧
rce 壢
rhi 燾
rja 場
rku 執
rmi 熱
rre 幫
rse 臺
rwa 罈
ryo 壞
sca 號
sco 嗎
sju 韌
stu 喲
tba 縑
tbe 絆
tbi 階
tca 綽
tco 紋
tcu 縟
tdi 緙
tdu 紈
tfe 緩
tfo 經
tfu 綵
tgi 裡
the 繩
thi 紖
tli 線
tlu 纏
tpe 綴
tpo 紳
tqe 纜
tqi 繼
tqo 繹
tqu 縛
tri 續
tro 結
tru 陸
tsa 繆
tse 緝
tsi 綠
tso 緣
tsu 紐
tto 鷥
ttu 綑
tva 練
tve 細
tvi 陳
txa 縯
txe 納
txi 縮
tya 絀
tye 統
tyi 緒
tyo 縴
vbu 樹
vpi 權
vqe 機
vsu 樓
vxi 檳
vxu 棲
vya 梔
vyo 標
vyu 櫻
wce 優
wco 佔
wdo 偽
wfa 儻
wga 業
wna 傷
wqa 傯
wto 儘
wve 佈
wwu 儂
wye 側
xho 彿
xme 從
xqi 鴕
xsu 衛
xyi 貢
yba 謙
ybi 譜
ybu 訝
yga 認
yhe 訂
yhi 訊
yho 話
yhu 討
yja 諒
yje 諄
yji 讚
yju 課
yka 諺
yke 請
yki 識
yko 諮
yku 詳
ymu 論
yni 許
yno 調
ypa 評
ypi 訐
yra 誌
yre 痲
yru 麼
ysa 賺
yse 則
yso 貼
ysu 購
yta 戀
yte 變
yti 彎
yva 諫
ywa 誑
ywi 訛
ywo 遷
yya 譚
yye 諦
yyi 諸
yyo 訕
yyu 訓
mvs 迦
sm 叭
vs 杏
sr 邑
nkn 竺
wjx 狩
fjk 孚
jdh 晖
jmg 顼
hwn 冗
jdf 暧
kdh 馋
jdx 晏
tkj 踝
cgg 恻
jdj 晾
wjj 猓
sgs 呗
vjs 榈
dkm 龈
jjj 瓒
kqj 痫
jgj 酰
kcp 辍
cmt 厩
rqm 坳
mgg 铡
jjb 琨
bjn 蜴
qjy 詈
nrl 粕
tkl 踮
dkq 舛
nhv 迤
pww 茯
ddc 砺
ddj 碣
jcy 魑
jgp 醛
pfn 苋
fjf 亘
jdv 杲
cpj 厝
knh 纥
pyq 茑
dkb 砦
ddr 砝
gjd 汨
ddk 碚
lkv 臬
mwd 钒
vkx 槎
mwn 旃
gkc 濉
ptj 芡
xgx 愆
jdn 曷
dnj 旮
nnc 笮
kqt 痼
ydf 岘
snn 啖
nrj 糅
nbn 煸
cjf 怛
cjg 㓦
jgl 醣
vnd 杓
hkd 诼
bwj 螬
tgj 裼
fkl 婧
qjx 罱
ddp 砹
lfj 朊
kqk 癔
xpm 褰
nlj 篁
krf 眇
ddw 砜
wjk 獍
nmv 煺
myq 锍
tkw 跶
cjj 惇
glv 柒
smv 叻
bjx 蜱
hgr 鲣
swv 哚
kqp 癀
ddm 硁
cxv 悝
vld 柰
mms 郤
xkj 徂
nxf 烔
pmw 茛
vvd 柝
jdm 昉
tgr 袪
qnw 幞
fkg 刬
mkh 铖
ddv 砵
gvl 洧
hkh 丏
krh 眄
kqh 疔
wkf 刳
sbn 卬
jdp 旰
kqv 瘌
dvq 郄
jkh 魆
gsf 泺
gfj 洸
krr 眭
dks 掊
mfv 畬
gyq 淯
hgj 鳀
fkw 媄
ydg 屺
kqn 瘕
phb 茀
gtm 泐
vsx 鬒
gmk 浍
njw 熇
pxd 蓰
sky 鸼
knq 叇
dlk 穜
xwh 徛
gss 漶
sxg 唝
jdq 昪
sxm 呙
ddh 磻
lsl 皦
jfj 珖
wkd 奓
dlf 稃
lwb 庼
wjh 狝
gyf 溦
njf 炟
kvv 𬘭
kjf 觱
mwv 𫟼
vks 棓
dlm 稌
vkd 椓
pwh 䓫
rnf 𪣻
ggd 䂮
kvh 竫
jyq 珫
cjc 皕
qjh 韨
ydr 嵁
kqm 疭
dlx 稙
nwb 簝
nhd 烻
krn 䁖
gfw 戣
gkd 㳚
fsb 剅
fwf 㛹
tgm 袗
ndm 筤
ydp 𫶇
sgt 𠳐
pvs 鄀
nbj 𬊤
tkf 𧿹
ydh 㟃
rjn 堨
pfx 𬜯
hgn 𬶋
ydj 屼
ydy 峧
ntn 爚
lwt 鄌
gwr 滫
lrj 𫘨
nvl 烠
txf 綄
yms 兗
tnh 羣
tfy 陘
mrf 閿
hwr 弔
tmw 紡
xfv 寀
ddf 碔
sns 顳
ydl 峯
tlq 絳
gym 滾
vjd 東
sys 唄
tnr 晝
tyq 縴
klh 醬
lwy 廩
kqx 瘲
nnh 營
kvs 競
qgq 斷
qcn 釙
trm 綾
jrg 頊
fmq 璽
cjl 靨
ngf 簦
pfp 荊
dlw 撚
srb 嚇
knk 凊
xgj 鯷
shw 喚
wny 㑳
vvl 麩
mrs 閭
vxv 棗
pms 蔄
gwd 汎
dly 秈
wjy 鸑
pss 勸
gpf 灘
ndd 黌
tbm 縊
ydn 嶗
ysf 賕
tkp 躪
bqm 彆
grh 濤
vmv 壘
kwk 盞
tgs 衹
fdn 殤
vtv 橢
dkf 顰
gsx 漊
tgp 襪
sjs 韍
gmd 浛
nds 屌
fmv 㛆
txp 綞
gmf 漵
ddq 磣
tgh 褌
fdm 殲
ydw 嵐
dlr 穡
tjj 綧
vmr 疇
hfn 觴
xgn 鮈
knl 贅
hbt 鄆
tkr 躊
tkb 躑
yds 嶍
tkm 蹌
ngy 烶
crr 騏
tkk 綫
pth 葤
xgy 鰂
kqq 瘮
bkx 鼕
wjs 玁
hgf 巹
nrq 糝
prk 薘
kvd 戇
ndx 㞞
nss 燀
qyq 鋶
gjf 璗
nmd 熗
pns 蘗
gtc 滙
tjf 隄
tgb 襚
ssj 囅
qlq 黲
dwq 鞿
snx 聹
crj 馹
qjf 鍀
qkh 鉞
jdc 𣈶
nts 熻
jmd 瑲
qwd 釩
dlq 穇
pxm 勱
lsnd 的
fi 一
jvi 了
jdfd 是
ksi 不
hdkw 我
vkrr 在
me 人
vkle 有
