#空格简
b 现在
wp 系统
wq 银行
wr 钥匙
ws 钟头
wt 自言自语
wv 针对
ww 坐在
wx 血流成河
wy 钢琴
x 没有
xb 漏洞
xc 流氓
xd 泻药
xf 添加
xg 淘宝
xh 游戏
xj 演技
xk 男人
xl 医生
xm 治疗
xn 消息
xp 卧槽
xq 满足
xr 激动
xs 涨价
xt 洗澡
xv 海外
xw 沦为
xx 渠道
xy 清楚
y 非常
yb 表情
yc 麻烦
yd 虚拟
yf 逻辑
yg 熬夜
yh 责任
yj 蜕变
yk 路上
yl 跨越
ym 跳槽
yn 跺脚
yp 素质
yq 跟着
yr 青春
ys 网站
yt 导致
yv 帽子
yw 面对
yx 距离
yy 毒药
#避重简
fs 杏
kt 讧
lf 杲
qb 萑
qd 芏
sf 邑
sp 叭
bhh 孱
bhj 屐
bhs 鐾
bjr 鶦
bnm 珰
bnq 庴
ccc 黌
chf 砵
chl 碭
chm 鬯
chq 礡
ckl 媄
dbn 韾
dhg 坝
dmf 埭
ffl 楂
fgl 梿
fjb 柰
fld 杌
flf 亘
flw 杕
fmr 棖
fnd 朽
fsj 豌
fvv 枓
fyf 棗
fyw 枘
ghh 錾
ghq 辍
gyv 炰
hch 砉
hdv 旒
hfs 丏
hwk 鶩
jbv 祚
jjg 徂
jlv 窨
jwl 袒
jwq 衩
jww 慫
jyp 幣
kbf 雩
kfm 鷅
kfw 龅
klf 瘌
klt 痾
klv 癆
kvc 醯
kvl 酞
ldd 鐃
ldg 晖
ldt 暉
lgn 晾
lgq 曩
lgw 昒
ljc 銨
lpx 旰
lsc 糉
lvk 曈
mfd 晝
mfw 羣
ndd 垡
nks 佫
nwd 眭
nwl 瞵
pcp 狡
pfl 猹
phl 緒
pjg 組
pwf 獪
pyr 綪
qcn 芡
qcs 茴
qfs 歎
qgs 茍
qjd 苋
qqn 茛
qwk 蒼
qxp 茑
qyd 瞢
rhf 獃
rhg 崞
rhm 嶷
rhp 峪
rhs 巖
rhx 屺
rlk 肽
rpk 鲚
ryl 旮
sdj 嚇
shg 呗
skr 胥
slj 弔
sml 迓
snf 哚
srj 叻
ssn 呂
swk 嗆
syw 呙
tdc 諂
thd 訪
ths 訶
tjg 詛
tjs 閭
tlx 陔
tmm 諧
tnk 跫
vgf 燈
vhl 韶
vjl 阊
vjt 焢
vkb 㸌
vkm 叇
vks 冴
vlv 煸
vnj 篠
vnv 黩
vpp 辮
vrb 篁
vtl 笻
vvp 笮
vyf 烔
wcm 锍
wkf 𫓧
xcm 㳘
xcp 滾
xcs 洳
xds 洺
xfl 洹
xkf 溧
xkr 洧
xms 呇
xrf 澂
ycp 跤
ydd 跬
ydx 虜
yft 轂
ygk 鏊
yjm 跎
ykf 趺
ykj 蛴
ylg 蜴
ylv 蹁
ylw 蛲
ymf 蹀
ynd 蹚
yqf 螨
yts 踟
ytw 踊
#多重简
do 多
ji 事
pa 战
bbu 琴
bho 局
chi 好
fpe 松
lgo 最
lwu 爽
mme 绿
ngo 停
nle 偏
tto 劲
vle 篇
#简体简
u 不
i 是
o 我
e 的
a 了
ba 愿
be 底
bi 现
ca 怒
ce 国
da 声
de 军
fe 样
ga 就
ge 熟
gi 情
he 发
hu 排
je 过
jo 得
ju 前
ke 为
ki 请
ko 说
ku 着
le 太
lo 式
lu 影
me 编
mi 给
mo 经
mu 望
na 件
ni 你
no 常
nu 看
pi 分
po 受
qa 欢
qe 苦
qi 萨
qu 即
ra 鲁
re 然
ro 加
sa 呢
se 呀
si 以
te 种
tu 利
ve 进
vo 动
wa 错
we 会
wu 命
xa 界
xe 法
xi 源
xo 没
yi 内
yo 同
yu 刚
bfe 球
bfi 玩
bhe 尽
bhi 展
bhu 属
bji 故
bjo 克
bju 班
bki 环
bko 理
bli 原
blo 厉
bna 庭
bni 应
bno 度
bnu 床
bte 珠
bve 焦
bwu 珍
cca 娇
cco 颤
cho 确
chu 硬
cji 姐
cjo 妈
cka 恩
cke 娘
cki 团
cko 因
cku 困
cme 姚
cmi 育
cmo 始
cni 妙
cno 嫦
cpi 效
cpu 交
cqu 媒
cra 婚
csi 娜
cto 毁
cwa 媳
cwu 卒
cxo 玄
cxu 率
cyo 市
cyu 婢
dbu 危
dci 坑
ddo 封
dfi 致
dfu 到
dga 志
dge 均
dgi 壤
dhi 期
dho 斯
dhu 甚
dja 增
dje 赤
dju 城
dki 或
dli 坦
dma 急
dni 写
dqi 塔
dru 埠
dse 象
dsu 场
dvo 境
dwa 解
dye 毐
fca 桥
fcu 校
fda 死
fde 殊
ffo 禁
fge 构
fho 析
fji 亚
fjo 标
fki 杯
fko 格
fli 来
flo 天
flu 更
fme 桃
fmi 背
fmo 板
fna 想
fni 机
fno 朽
fnu 相
fpi 互
fqe 根
fqu 形
fri 柳
fsa 融
fse 速
fsi 赖
fve 杰
fvo 梅
fwi 检
fxe 求
fxi 救
fyi 两
fyo 楞
fyu 刺
gcu 彤
gda 忧
gdo 周
gfe 登
gfo 悟
ggi 惊
gha 暂
ghi 享
gho 轻
ghu 较
gji 聊
gjo 取
gki 政
gko 怖
glo 慢
gmi 必
gmo 忙
gni 悄
gpi 亮
gqe 恨
gqi 怪
gqo 懂
gqu 懵
gre 怕
gvi 愤
gvo 悔
gwa 忽
gwe 匆
gwo 恤
gyi 包
hbe 遇
hca 振
hci 抗
hda 老
hdu 探
hge 搞
hgu 则
hha 慧
hhe 拆
hho 打
hji 按
hjo 控
hka 挤
hke 拔
hko 预
hla 提
hle 括
hli 担
hlo 报
hlu 掩
hma 指
hme 挑
hmi 拾
hmo 抬
hni 挡
hno 投
hpi 掉
hpo 授
hqe 描
hqi 搭
hqo 招
hra 挺
hre 热
hro 势
hve 拉
hvo 盘
hwe 出
hxa 欣
hxe 近
jba 官
jbe 福
jbi 视
jbu 礼
jcu 案
jda 感
jdu 成
jfa 定
jfe 富
jfi 完
jge 密
jhe 宾
jhi 字
jho 害
jji 行
jjo 宗
jka 养
jki 彼
jko 客
jku 往
jli 突
jlo 容
jlu 单
jme 兼
jmi 律
jna 宿
jni 半
jnu 判
jpo 益
jqe 很
jqo 瓶
jre 骗
jru 驻
jsa 总
jse 递
jso 宫
jte 家
jto 径
jva 德
jvo 实
jwe 道
jwo 补
jwu 徐
kba 震
kco 务
kfe 些
kfi 肯
kga 齐
kge 这
khe 诉
kho 访
kji 在
kjo 讨
kko 谢
kku 议
kli 疾
klo 痛
klu 课
kmi 训
kmo 雄
kno 设
kpe 评
kqe 良
kqi 郎
kqu 谋
kse 还
kve 配
kwa 论
kwo 美
kxe 记
kyo 布
lca 晨
lda 严
ldo 晚
lfo 题
lga 歇
lgi 景
lgu 易
lji 显
ljo 时
lli 晓
lqe 照
lre 遍
lru 翩
lse 迷
lso 断
lsu 料
lto 顿
lva 昨
lwa 态
lwe 奋
lxu 刻
lyo 映
mda 绝
mfa 建
mfe 群
mfo 后
mge 约
mgo 拿
mha 绪
mja 缩
mji 组
mke 终
mko 络
mli 绕
mlu 参
mmi 丝
mmo 允
mpi 纷
mpo 缓
mqe 返
mra 能
mse 级
mta 疑
mvo 续
mwa 忘
mxe 细
nbo 假
nbu 风
nci 依
nda 您
nde 像
ndi 学
nfa 伍
nge 击
nhi 偶
nho 何
nje 俱
nji 候
njo 付
nki 侯
nku 住
nli 但
nmi 俊
nmo 侵
nni 伏
nno 佩
npi 份
npo 俗
nqe 供
nre 低
nri 凭
nsa 佛
nse 辉
nso 仍
nva 作
nve 们
nwa 价
nwe 瞧
pca 爸
pda 犹
pdo 爱
pfe 点
pfi 餐
pge 迪
pho 猛
pji 狙
pjo 狮
plu 犯
pni 猴
pqe 猫
pqo 盆
pwa 欲
pwo 谷
pxe 平
qda 戏
qde 蒙
qdo 营
qdu 藏
qfe 燕
qge 莲
qha 著
qhi 草
qho 芳
qja 忍
qjo 对
qko 若
qlo 幕
qlu 节
qme 药
qmo 带
qna 花
qno 既
qpi 获
qpu 菜
qre 苏
qri 散
qro 劝
qve 甘
qvu 某
qwu 茶
qxo 落
qxu 荡
qyo 英
rco 膀
rdu 脚
rfe 膝
rfo 肺
rfu 印
rge 胸
rgi 胞
rhi 凯
rho 峰
rhu 岸
rje 边
rji 胖
rju 架
rka 脐
rke 脑
rki 腰
rla 昏
rle 留
rlo 服
rma 脂
rmo 超
rni 乐
rno 股
rpi 鳞
rpo 卡
rqe 腿
rqo 膜
rre 胁
rse 肿
rvo 膊
rwe 丢
ryu 杂
sca 嗯
sdo 唤
sfo 司
sge 遭
shi 员
sho 听
sjo 吗
ske 及
ski 味
sla 强
sli 费
slu 喝
smi 哈
smo 雅
sni 那
sno 号
sre 遗
sri 贵
sro 另
sru 别
sse 书
ssi 哪
sto 啊
sve 飞
svo 买
swa 呼
swe 咱
sxa 承
tda 隐
tdo 陷
tfe 隔
tge 阵
tho 阿
tji 院
tjo 际
tka 隆
tki 攻
tko 项
tlo 知
tme 选
tmi 赞
tmo 先
tni 秋
tno 和
tnu 程
tpe 朱
tpo 特
tpu 物
tqe 限
tro 功
tse 造
tsu 靠
tvo 陪
twa 阶
twe 通
vco 烟
vda 索
vde 载
vdo 等
vfu 策
vha 意
vhi 部
vho 新
vhu 亲
vji 直
vjo 问
vju 箭
vka 次
vki 决
vko 头
vku 冷
vli 复
vmi 答
vni 年
vno 符
vre 协
vsi 第
vso 卖
vva 简
vvo 博
vwi 签
vyi 敏
vyo 南
wfe 途
wfu 剑
wka 念
wki 邻
wko 领
wku 今
wla 悉
wli 释
wlu 翻
wni 锁
wqe 银
wse 钟
wsi 锅
wti 锹
wve 镇
wvo 铺
wyo 血
wyu 钢
xba 泥
xbi 湖
xco 流
xdi 沉
xdo 洁
xdu 深
xfo 污
xgo 渐
xgu 滑
xhi 游
xhu 测
xki 波
xko 男
xku 注
xlo 温
xlu 区
xmi 派
xmo 治
xni 消
xno 沿
xnu 泪
xpi 浮
xpu 油
xqe 洪
xqi 满
xqu 梁
xri 激
xru 染
xsu 汤
xvi 淡
xvo 海
xwo 泛
xyi 清
yba 悲
ybe 辈
yca 磨
yco 魔
yda 虑
ydi 虚
ydu 跪
yfe 罢
yfi 置
yfu 罪
yge 熬
ygi 跑
yhi 责
yji 蛆
yjo 踪
yko 路
yme 跳
ypu 踩
yqe 跟
yqo 蟆
yru 静
yse 典
ysi 肉
yso 央
yve 幅
yvi 帐
ywo 版
yxa 距
yxi 贯
yyo 毒
#繁体简
bbo 雙
bmi 瑋
bpi 現
bpu 璿
bqa 璊
btu 琍
bva 瓏
bwo 瑲
bxe 琺
bxi 璣
byi 環
ccc 黌
cci 學
cdo 毀
cfo 殺
chl 碭
chq 礡
cpo 媽
cse 嫋
csu 嬋
ctu 嫻
cve 姍
cwo 雜
cxa 牽
dbe 聲
dlu 場
dpe 熱
dpo 勢
dqo 冪
dte 運
dti 皸
dvi 墳
dwu 觴
dyi 賣
fmr 棖
fne 檔
fpu 爾
fti 橢
fwa 檜
fwo 槍
fxo 樞
fya 兩
fyf 棗
gju 聖
gku 慄
gno 懼
gse 過
gto 慚
gtu 憫
gva 憶
gve 勻
gwi 懺
gxi 愜
hfe 揀
hfi 揹
hne 撐
hte 攔
hwk 鶩
hxi 質
hya 擺
hyo 擇
jce 寫
jga 縣
jha 憲
jke 養
jwa 從
jww 慫
jxi 後
jyi 實
jyp 幣
kde 為
klt 痾
klv 癆
kta 齔
lbi 鏞
lci 氣
ldd 鐃
ldt 暉
lge 鈞
lhi 鏏
lhu 釗
ljc 銨
lje 鋐
lke 鐳
llo 錡
lmi 鏽
lmo 鍾
lne 鐺
lno 鉛
lpe 錄
lpi 曖
lqa 錯
lqi 鎝
lqu 畢
lsc 糉
lve 鎮
lvo 鏡
lxa 鉅
lxe 鈿
lxi 鏗
lye 鋼
mfd 晝
mfu 劃
mfw 羣
mpa 鴕
mpu 梟
mte 鬆
mva 館
mye 遞
nce 個
nna 怹
nte 們
nto 傳
nxo 傴
pbi 纏
pga 絢
pha 緒
phl 緒
pja 縮
pje 縯
pjg 組
pju 綣
pku 紋
ple 編
pli 繚
pma 紕
pmi 給
pmu 爭
ppe 綠
ppi 紛
ppo 緩
pra 駝
pre 線
pri 紙
pru 駛
psa 總
pse 級
pso 兌
pte 辭
ptu 亂
pva 織
pwf 獪
pwi 纖
pxo 雞
pye 綱
pyr 綪
pyu 緬
qfs 歎
qfu 荊
qgu 則
qhe 邁
qmu 葉
qru 藥
qsa 歡
qsi 觀
qta 薩
qte 蘭
qwa 蘇
qwk 蒼
qwo 蒼
rgu 膠
rhs 巖
rlu 劉
rpu 腳
rqu 臟
rsa 膿
sde 嚇
sdj 嚇
sgu 別
sku 嚙
slj 弔
sna 嚐
spo 嗎
sqa 囌
sqi 員
ssa 戰
ssu 單
swk 嗆
swo 嗆
syo 雖
tbe 詁
tce 謫
tci 諛
tco 諦
tdc 諂
tde 諢
tdi 陸
tdu 詭
tfa 陳
tfo 語
tga 詢
tgi 讓
tgu 謬
thd 訪
ths 訶
thu 較
tjg 詛
tjs 閭
tju 誠
tku 註
tlu 陽
tma 詣
tmm 諧
tmu 諜
tpi 變
tqa 認
tqi 講
tqo 護
tqu 謀
tte 陣
tva 識
tvi 談
txe 記
txi 謂
txo 謳
txu 誆
tyi 請
tyo 譯
tyu 誹
vbo 煩
vce 箇
vfe 煉
vga 筍
vge 燈
vgf 燈
vgo 燿
vmo 籲
vpi 燦
vpp 辮
vqe 無
vqu 節
vra 筳
vta 簡
vtu 範
vwo 熗
vyu 刪
wlo 釋
wpi 鯨
xcp 滾
xda 淺
xqa 澀
xso 況
xta 澗
xte 灣
xtu 潤
xxa 潛
xxo 濫
ydx 虜
yft 轂
ygo 躍
yla 蠍
yqi 責
ysa 內
yte 選
yya 蟲
yyi 裝
yyu 壯
#全码
rngk 的
fi 一
hdi 了
lfkf 是
ksi 不
whdk 我
kjdi 在
wi 人
kri 有
kgle 这
nne 他
flsi 来
wje 个
ndns 你
kjsm 说
ru 上
dfhr 到
gndn 就
kwnw 着
lwo 大
nvje 们
jwle 道
snti 那
wme 么
ne 也
dne 地
hsi 子
ha 下
hwhe 出
ljfo 时
ndnw 看
kci 要
cne 她
sje 中
xngo 没
rnvh 然
kvo 里
krke 为
jfle 过
wke 自
chsi 好
jlfj 得
dme 去
hfso 可
wvme 会
flwo 天
ksle 还
gma 心
mfso 后
skwi 以
nsi 小
hdlt 都
tnso 和
qjfo 对
fngm 想
mrmm 能
rmxl 起
rmyt 起
fo 之
ndo 手
nwi 而
spe 只
ja 生
nvu 什
ksu 身
vklw 头
fkwe 样
jsmf 事
dndn 多
xle 己
jtke 家
ywu 面
tlso 知
fqi 开
cso 如
fdo 无
bjdi 现
jqne 很
pfsv 点
jrhr 前
hqke 发
mtto 经
gyri 情
hfa 把
hdma 老
kfmv 些
klfe 话
fle 已
qo 又
dbha 声
vhlg 意
fja 于
ckso 回
vcle 笑
nrhx 所
nlfi 但
nwqn 眼
jdsu 成
hdo 方
vngi 年
jdi 见
nsmf 当
ci 女
vjpe 真
fyww 两
rjo 力
lco 气
wwi 从
wo 用
jri 长
vkmr 动
vjla 间
ckbk 国
rme 走
kru 让
jwkg 被
mmgi 给
go 正
vjso 问
hhfo 打
lri 明
mco 儿
xdme 法
jwi 才
nbi 几
jjdi 行
bja 三
jfkf 定
kfma 此
vkjl 进
fydi 再
tnsj 种
fdjf 将
fpjf 将
jvlw 实
ysfs 同
lgqo 最
ysvq 最
ffi 本
sne 向
pqji 分
vu 十
ndhs 学
gpe 高
vsjw 第
jdfg 感
vpgm 怎
jbpg 神
shxo 听
rjle 边
nvpa 作
dhe 其
sfa 吧
dmlr 却
so 口
ndjd 觉
sths 啊
cklw 因
rne 白
vkcn 次
dghe 军
nbkc 做
dnpf 外
vje 门
nsld 光
nbcu 风
kbu 主
nkbu 住
lfu 果
ndfi 与
wbu 全
sjbu 全
vke 二
njkt 候
pme 公
fnwu 相
sjro 吗
vdjf 等
srhr 别
dfa 色
fdma 死
sljr 张
vhst 部
lwke 太
la 日
nswi 少
pfsd 战
bkvo 理
vjgi 直
mwkv 重
bu 王
ndst 像
ndlt 像
rwfn 脸
mma 比
gkwi 快
nhso 何
xme 水
dnso 名
nffi 体
sbma 呢
ltns 东
she 叫
ka 西
bnni 应
nflc 便
hdkc 放
jro 马
qbo 难
ghtt 轻
flcu 更
kwlw 美
nvhe 位
jlwo 关
fnbi 机
hvci 接
tmco 先
kgu 文
kcpf 处
kcwi 处
jqi 并
mwrb 望
mwrr 望
nvyv 常
jfld 完
ckmc 四
svke 飞
jfyv 师
hdla 者
jci 安
xyri 清
ysch 刚
yqne 跟
ri 月
nti 信
rhe 山
pdkq 爱
yswi 内
dnwi 龙
jlto 空
qmdy 带
hdka 找
blrn 原
sja 入
fhsi 李
ghle 连
svsu 吃
dswu 场
pxje 平
xkgm 思
ffu 林
glqo 变
nfsc 使
pgu 由
pdqo 受
vhfu 亲
wfsl 命
nwu 目
slsy 强
xkrj 男
nrwi 任
klxo 该
ykso 路
ghe 车
wksu 今
wfsu 今
xvyx 海
rjso 加
flle 远
xlfe 活
tpdj 特
dwqt 解
dgdt 解
pvu 电
mdo 世
gja 性
ybi 表
kvvu 许
jma 它
vhe 立
vne 黑
li 金
mto 红
qnma 花
ghvk 转
jsgm 总
vnqi 算
djsu 城
twi 队
hslx 孩
mqo 反
blqo 反
to 工
cmso 始
xqfw 满
vhfh 新
hxfp 兵
tpgw 物
kghm 离
ybu 非
sya 虽
vkme 云
nskw 似
fgo 万
dfo 至
pxu 干
twle 通
kwi 认
wkfo 失
vi 火
hfss 哥
du 士
fmla 五
ggns 惊
ycpv 魔
vhlm 竟
cjgi 姐
wjja 乎
wfnh 剑
jkbu 往
lfkv 量
hvi 早
mdso 结
grne 怕
xcmm 流
xlkm 流
jlnf 突
wwdi 坐
dhhx 斯
vhla 音
jqpa 紧
hmla 指
hvhe 拉
cfu 杀
jngi 半
kxle 记
jgi 且
tnhr 利
mgi 合
ndhr 倒
ssjk 书
bnqq 度
jfnb 微
jfmc 微
kfns 步
hdhk 教
jlso 喜
rmds 越
lgnw 影
kbo 谁
vkwt 冷
xdpf 深
xdmf 深
tso 告
qxks 落
dstk 象
dltk 象
jlws 容
gqdi 怪
nvsk 传
wfdk 钱
hlfk 提
ti 言
ckdf 國
mru 來
tkrl 随
vyxo 每
qqo 双
rlqo 服
nghe 击
flkf 武
ssnt 哪
lsck 数
vhps 站
lwhs 奇
lrhd 房
nrhd 房
vjbk 管
mfvi 灵
lxhr 刻
lfkk 题
cbi 衣
gdso 周
yrds 静
nvrj 伤
blla 百
mgnd 拿
cjro 妈
rjpe 办
lja 星
nma 化
trjo 功
mdfa 绝
wpa 系
hvng 般
gmwi 必
jsi 业
dnsi 尔
ntpa 件
wyfo 血
nltu 代
lsyr 精
jsjw 弟
mkvk 终
hxle 近
kcfu 条
yri 青
xkwj 界
sfso 司
fskg 整
qcna 欢
jhsi 字
ntje 們
ldsm 晚
ytlt 民
htyv 帮
ltqj 切
qnlr 即
gmwo 忙
cpcu 交
dksf 或
lvla 暗
kfo 夫
shgi 员
fqne 根
cha 石
smgi 哈
cndk 夜
pcu 父
tpyh 制
kqo 友
thso 阿
wkgm 息
vksj 冲
xkva 酒
nsfu 保
ywi 片
fqwu 形
tghe 阵
vyko 南
vkkw 决
kyri 请
kcso 各
hlqo 报
npe 兴
tla 阳
dmgm 急
kfms 语
wktu 令
wftu 令
wqla 错
skke 及
wsqo 及
kghr 刘
fske 极
fwsq 极
kspe 识
kcxk 备
glyq 慢
gyvq 慢
kbmf 雪
qbje 苦
qkso 若
wktk 领
wftk 领
hkci 收
bnrk 底
bnrf 底
bhkv 尽
vkbo 准
nmvu 华
vmgi 答
wwwi 众
ldjf 時
mwe 千
xnri 消
jbjd 视
yfdn 罗
sgkc 敢
hfgk 敢
rlxk 留
bjmc 克
rnsi 乐
gsdd 够
ygyt 跑
ljsi 显
skmw 嘴
skmd 嘴
jbka 官
lssh 断
kxi 未
hrkr 势
gso 句
fxke 求
kvu 计
kwma 论
lwle 达
hghr 则
jhso 害
jyso 害
pe 八
jlvu 单
dke 久
rdml 脚
jvyg 德
fldi 元
rkhe 脑
ffsk 楚
kbi 雨
nwyr 睛
ssne 响
qji 刀
chdw 确
chdd 确
bke 玉
xdnb 沉
xdmc 沉
fma 北
fkso 格
nghf 停
tlns 陈
cyvo 市
vhri 朝
slgs 喝
hdvt 族
xto 江
ckjw 团
yxo 母
ccch 學
vhhv 章
fdcb 装
gpnb 亮
gpmc 亮
jkso 客
lqsv 照
lfsu 乱
lgwu 易
tle 這
ye 足
ncbi 依
qppe 黄
qxpe 黄
njkw 修
chkg 破
mso 台
wfll 會
bfxk 球
ssme 呀
tjfl 院
jlle 送
gyti 包
kcu 义
khke 诉
tkci 攻
mmfi 丝
ckns 围
bfld 玩
jdjf 待
vlkc 复
vksm 况
kdle 為
flci 楼
fyys 丽
fyfy 丽
kltw 痛
ffdn 梦
swjj 呼
hpwl 摇
dhri 期
qylw 英
nrlk 低
nrlf 低
cjdy 帝
smco 兄
fmri 背
hdjf 持
pclr 爷
rnbu 皇
lti 七
cpe 六
jlsm 穿
fswu 杨
gkci 政
vkml 运
bhbj 居
svu 叶
hrkv 热
fcpc 校
kkjf 谢
jlla 曾
bje 古
mxke 细
vhwi 产
nwmf 睡
nwmv 睡
ckyv 希
fsle 速
jdfo 室
cjdh 旁
srjo 另
gksi 怀
kbys 露
ytqi 异
xlqi 异
dnfi 写
pvo 鬼
ckqn 娘
gjqo 取
ltto 式
twff 除
mske 级
mwsq 级
hdnd 考
mfnq 建
blrg 愿
hqso 招
jvmq 饭
jvbq 饭
kyvo 布
mvsl 续
tnsb 程
tnsr 程
tpsm 說
jwke 首
qjdi 观
rri 朋
kcrj 务
hphv 掉
rmpx 赶
gwgm 忽
xkbu 注
fke 术
gsle 過
dhsu 甚
kwto 差
shso 呵
bhqb 展
dmsu 争
ssso 品
jvke 兰
jbke 宝
ncbj 個
tnla 香
vkvu 斗
qhla 著
bjkc 故
kbxk 雷
wksg 念
wfsg 念
nbng 段
lthk 顿
dwo 角
dgdi 角
mttk 疑
hlro 护
hnro 护
vjwi 闪
fu 木
kbnw 需
kgds 调
lslw 类
ckxi 妹
pcfa 爸
mfdk 线
kto 左
xhvh 游
xmbi 派
kvvi 谈
xrhk 激
vkxm 冰
lfkc 敌
mwkr 動
ymvv 跳
vqo 支
mgke 约
gsng 發
fa 巴
ndng 您
bllk 顾
kfri 肯
kvlj 醒
dsdd 臺
wwkf 铁
hgyt 抱
xvvi 淡
tsle 造
nvi 伙
vkch 资
mfwk 群
bfu 集
gjjl 联
cjys 商
sndo 号
qlru 节
kvja 讲
nvnd 掌
rmcu 赵
ycxy 麼
jgwr 密
rye 九
klfw 病
the 車
lrfi 卫
lsi 米
jdfc 威
mlsu 继
xghx 渐
mcmm 统
mlkm 统
rmle 追
fjsi 亚
vvla 简
mlsp 练
pfmt 經
dhdi 基
tmle 选
hbo 推
xlkc 改
tjfq 開
qnle 退
skxi 味
npqj 份
npng 举
jbo 示
qjkg 忍
blrj 历
bpdi 現
ssns 器
tnkg 恐
slje 引
klto 试
kgi 皮
gu 习
tsyb 靠
